"Airline","Date_of_Journey","Source","Destination","Route","Dep_Time","Arrival_Time","Duration","Total_Stops","Additional_Info","Price"
"Vistara","2022-09-29","Mumbai","Cochin","MUM --> KOL --> BAN --> COC","13:15:00","23:00:00","9h 45m","2 stops","1 Long layover",8999
"Jet Airways Business","2022-09-29","Hyderabad","Kolkata","HYD --> MUM --> COC --> KOL","05:00:00","14:15:00","9h 15m","2 stops","Red-eye flight",5842
"IndiGo","2022-09-29","Hyderabad","Mumbai","HYD --> BAN --> KOL --> MUM","13:15:00","23:00:00","9h 45m","2 stops","1 Long layover",5380
"Jet Airways","2022-09-29","Delhi","Hyderabad","DEL --> BAN --> HYD","16:45:00","23:15:00","6h 30m","1 stop","1 Long layover",5736
"Vistara","2022-09-30","Delhi","Mumbai","DEL --> CHE --> BAN --> MUM","08:15:00","17:15:00","9h 0m","2 stops","Red-eye flight",12439
"Multiple carriers Premium economy","2022-09-30","Hyderabad","Mumbai","HYD --> CHE --> MUM","19:00:00","23:30:00","4h 30m","1 stop","Business class",14757
"IndiGo","2022-09-30","Delhi","Chennai","DEL --> COC --> HYD --> CHE","07:45:00","16:00:00","8h 15m","2 stops","Red-eye flight",9893
"Air India","2022-09-30","Delhi","Hyderabad","DEL --> HYD","08:30:00","09:30:00","1h 0m","non-stop","Business class",4051
"Vistara","2022-09-30","Kolkata","Chennai","KOL --> BAN --> CHE","05:30:00","10:30:00","5h 0m","1 stop","Red-eye flight",9790
"IndiGo","2022-09-30","Mumbai","Hyderabad","MUM --> COC --> KOL --> HYD","13:00:00","20:00:00","7h 0m","2 stops","1 Long layover",9533
"IndiGo","2022-10-01","Chennai","Delhi","CHE --> DEL","16:30:00","19:45:00","3h 15m","non-stop","Business class",12075
"IndiGo","2022-10-01","Hyderabad","Mumbai","HYD --> CHE --> BAN --> MUM","06:00:00","15:15:00","9h 15m","2 stops","Red-eye flight",10204
"IndiGo","2022-10-01","Hyderabad","Chennai","HYD --> MUM --> CHE","14:00:00","17:00:00","3h 0m","1 stop","No info",13289
"GoAir","2022-10-01","Banglore","Chennai","BAN --> MUM --> CHE","18:45:00","01:00:00","6h 15m","1 stop","No check-in baggage included",11321
"IndiGo","2022-10-01","Delhi","Hyderabad","DEL --> HYD","16:45:00","19:45:00","3h 0m","non-stop","No info",9058
"SpiceJet","2022-10-01","Chennai","Mumbai","CHE --> MUM","05:45:00","08:00:00","2h 15m","non-stop","Change airports",4987
"Vistara","2022-10-01","Mumbai","Delhi","MUM --> DEL","13:30:00","16:00:00","2h 30m","non-stop","No check-in baggage included",14348
"IndiGo","2022-10-01","Banglore","Hyderabad","BAN --> MUM --> CHE --> HYD","05:00:00","14:15:00","9h 15m","2 stops","1 Long layover",3491
"GoAir","2022-10-01","Banglore","Cochin","BAN --> DEL --> KOL --> COC","07:00:00","14:00:00","7h 0m","2 stops","No info",6731
"SpiceJet","2022-10-02","Banglore","Cochin","BAN --> COC","10:30:00","14:00:00","3h 30m","non-stop","No info",12495
"IndiGo","2022-10-02","Delhi","Kolkata","DEL --> BAN --> CHE --> KOL","21:15:00","05:15:00","8h 0m","2 stops","Business class",12671
"Akasa Air","2022-10-02","Delhi","Chennai","DEL --> HYD --> KOL --> CHE","11:30:00","21:15:00","9h 45m","2 stops","No info",10830
"Jet Airways Business","2022-10-02","Banglore","Hyderabad","BAN --> DEL --> HYD","09:00:00","13:15:00","4h 15m","1 stop","No check-in baggage included",13109
"Akasa Air","2022-10-02","Cochin","Kolkata","COC --> MUM --> HYD --> KOL","15:30:00","23:15:00","7h 45m","2 stops","In-flight meal not included",9611
"Vistara","2022-10-02","Kolkata","Banglore","KOL --> BAN","16:00:00","18:00:00","2h 0m","non-stop","In-flight meal not included",3475
"Jet Airways Business","2022-10-02","Kolkata","Chennai","KOL --> COC --> HYD --> CHE","05:15:00","13:15:00","8h 0m","2 stops","Change airports",9685
"SpiceJet","2022-10-02","Kolkata","Mumbai","KOL --> MUM","16:45:00","20:00:00","3h 15m","non-stop","No info",8021
"Jet Airways Business","2022-10-02","Hyderabad","Banglore","HYD --> BAN","10:15:00","12:45:00","2h 30m","non-stop","Red-eye flight",13348
"Vistara","2022-10-02","Chennai","Cochin","CHE --> DEL --> COC","15:00:00","19:15:00","4h 15m","1 stop","Red-eye flight",14950
"Vistara","2022-10-02","Delhi","Banglore","DEL --> CHE --> COC --> BAN","16:30:00","01:15:00","8h 45m","2 stops","Business class",6522
"IndiGo","2022-10-02","Kolkata","Hyderabad","KOL --> DEL --> HYD","11:15:00","14:45:00","3h 30m","1 stop","Business class",6576
"IndiGo","2022-10-03","Hyderabad","Chennai","HYD --> CHE","11:30:00","13:45:00","2h 15m","non-stop","Red-eye flight",7396
"Jet Airways","2022-10-03","Banglore","Mumbai","BAN --> KOL --> HYD --> MUM","15:45:00","00:45:00","9h 0m","2 stops","No info",9396
"Vistara","2022-10-03","Delhi","Mumbai","DEL --> MUM","18:15:00","21:45:00","3h 30m","non-stop","Red-eye flight",4362
"GoAir","2022-10-03","Kolkata","Banglore","KOL --> MUM --> HYD --> BAN","20:30:00","04:45:00","8h 15m","2 stops","No info",7596
"IndiGo","2022-10-03","Cochin","Delhi","COC --> DEL","16:00:00","19:15:00","3h 15m","non-stop","In-flight meal not included",7582
"IndiGo","2022-10-03","Mumbai","Cochin","MUM --> HYD --> KOL --> COC","09:00:00","17:15:00","8h 15m","2 stops","In-flight meal not included",10266
"IndiGo","2022-10-03","Chennai","Delhi","CHE --> COC --> BAN --> DEL","13:30:00","19:30:00","6h 0m","2 stops","Business class",3958
"Trujet","2022-10-03","Delhi","Banglore","DEL --> COC --> MUM --> BAN","21:30:00","05:45:00","8h 15m","2 stops","No info",7884
"Air India","2022-10-03","Banglore","Hyderabad","BAN --> HYD","12:45:00","15:15:00","2h 30m","non-stop","No info",9066
"Air India","2022-10-03","Chennai","Mumbai","CHE --> MUM","06:00:00","08:30:00","2h 30m","non-stop","1 Long layover",13974
"Vistara","2022-10-03","Hyderabad","Banglore","HYD --> KOL --> CHE --> BAN","13:15:00","21:30:00","8h 15m","2 stops","No check-in baggage included",5054
"GoAir","2022-10-03","Mumbai","Delhi","MUM --> BAN --> HYD --> DEL","06:00:00","13:45:00","7h 45m","2 stops","No info",9247
"IndiGo","2022-10-03","Kolkata","Hyderabad","KOL --> HYD","07:45:00","11:15:00","3h 30m","non-stop","1 Long layover",9718
"GoAir","2022-10-04","Delhi","Chennai","DEL --> CHE","06:00:00","07:30:00","1h 30m","non-stop","Change airports",14980
"IndiGo","2022-10-04","Banglore","Kolkata","BAN --> KOL","09:00:00","12:15:00","3h 15m","non-stop","Change airports",10383
"IndiGo","2022-10-04","Kolkata","Hyderabad","KOL --> MUM --> CHE --> HYD","10:00:00","19:30:00","9h 30m","2 stops","Change airports",14374
"IndiGo","2022-10-04","Delhi","Mumbai","DEL --> CHE --> MUM","11:00:00","14:00:00","3h 0m","1 stop","Business class",8892
"Multiple carriers","2022-10-04","Delhi","Cochin","DEL --> BAN --> COC","20:45:00","02:00:00","5h 15m","1 stop","No check-in baggage included",12625
"GoAir","2022-10-04","Hyderabad","Mumbai","HYD --> DEL --> MUM","09:45:00","15:30:00","5h 45m","1 stop","Business class",4525
"IndiGo","2022-10-05","Mumbai","Banglore","MUM --> BAN","17:15:00","20:45:00","3h 30m","non-stop","Change airports",13044
"Air India","2022-10-05","Delhi","Mumbai","DEL --> KOL --> CHE --> MUM","15:45:00","01:15:00","9h 30m","2 stops","1 Long layover",10820
"IndiGo","2022-10-05","Mumbai","Hyderabad","MUM --> HYD","18:30:00","20:30:00","2h 0m","non-stop","In-flight meal not included",13307
"SpiceJet","2022-10-05","Banglore","Delhi","BAN --> DEL","17:30:00","18:45:00","1h 15m","non-stop","No check-in baggage included",7017
"IndiGo","2022-10-05","Mumbai","Delhi","MUM --> BAN --> DEL","06:45:00","12:00:00","5h 15m","1 stop","Business class",7667
"Air India","2022-10-05","Delhi","Hyderabad","DEL --> MUM --> CHE --> HYD","19:00:00","04:15:00","9h 15m","2 stops","Red-eye flight",8655
"Vistara","2022-10-05","Chennai","Banglore","CHE --> HYD --> BAN","10:45:00","16:15:00","5h 30m","1 stop","Red-eye flight",7046
"IndiGo","2022-10-05","Cochin","Chennai","COC --> CHE","05:30:00","09:00:00","3h 30m","non-stop","In-flight meal not included",7137
"GoAir","2022-10-05","Banglore","Hyderabad","BAN --> MUM --> DEL --> HYD","18:00:00","02:15:00","8h 15m","2 stops","1 Long layover",4853
"Air Asia","2022-10-06","Banglore","Mumbai","BAN --> MUM","08:00:00","09:00:00","1h 0m","non-stop","Business class",6474
"SpiceJet","2022-10-06","Hyderabad","Chennai","HYD --> CHE","19:30:00","22:45:00","3h 15m","non-stop","Business class",14349
"SpiceJet","2022-10-06","Delhi","Mumbai","DEL --> MUM","20:45:00","23:15:00","2h 30m","non-stop","Business class",11700
"Vistara","2022-10-06","Delhi","Cochin","DEL --> COC","11:15:00","12:45:00","1h 30m","non-stop","No info",7005
"Akasa Air","2022-10-06","Mumbai","Chennai","MUM --> KOL --> CHE","10:45:00","15:30:00","4h 45m","1 stop","No info",6067
"IndiGo","2022-10-07","Banglore","Hyderabad","BAN --> KOL --> MUM --> HYD","10:15:00","16:45:00","6h 30m","2 stops","1 Long layover",7994
"IndiGo","2022-10-07","Mumbai","Delhi","MUM --> DEL","08:30:00","11:00:00","2h 30m","non-stop","Business class",12080
"Air India","2022-10-07","Delhi","Mumbai","DEL --> BAN --> MUM","19:15:00","00:15:00","5h 0m","1 stop","No info",5477
"Trujet","2022-10-07","Chennai","Delhi","CHE --> MUM --> DEL","19:30:00","23:15:00","3h 45m","1 stop","No info",7481
"Vistara","2022-10-07","Mumbai","Chennai","MUM --> CHE","12:15:00","15:45:00","3h 30m","non-stop","In-flight meal not included",10046
"IndiGo","2022-10-07","Delhi","Chennai","DEL --> MUM --> HYD --> CHE","07:45:00","13:45:00","6h 0m","2 stops","Red-eye flight",11769
"IndiGo","2022-10-07","Mumbai","Banglore","MUM --> COC --> DEL --> BAN","10:30:00","19:00:00","8h 30m","2 stops","No check-in baggage included",13052
"IndiGo","2022-10-07","Banglore","Mumbai","BAN --> MUM","16:45:00","19:00:00","2h 15m","non-stop","Change airports",3264
"IndiGo","2022-10-07","Hyderabad","Banglore","HYD --> COC --> DEL --> BAN","17:15:00","01:30:00","8h 15m","2 stops","Change airports",6697
"IndiGo","2022-10-07","Hyderabad","Kolkata","HYD --> COC --> CHE --> KOL","15:45:00","00:15:00","8h 30m","2 stops","No info",14717
"IndiGo","2022-10-07","Chennai","Banglore","CHE --> MUM --> BAN","10:45:00","15:15:00","4h 30m","1 stop","Change airports",14172
"IndiGo","2022-10-07","Delhi","Hyderabad","DEL --> BAN --> KOL --> HYD","13:15:00","19:15:00","6h 0m","2 stops","Red-eye flight",14903
"Jet Airways Business","2022-10-08","Chennai","Mumbai","CHE --> BAN --> MUM","15:00:00","20:30:00","5h 30m","1 stop","In-flight meal not included",8558
"Air Asia","2022-10-08","Delhi","Banglore","DEL --> CHE --> COC --> BAN","09:45:00","19:15:00","9h 30m","2 stops","Business class",12981
"Air Asia","2022-10-08","Banglore","Hyderabad","BAN --> HYD","09:15:00","12:30:00","3h 15m","non-stop","In-flight meal not included",13417
"Multiple carriers","2022-10-08","Banglore","Delhi","BAN --> HYD --> CHE --> DEL","21:45:00","05:00:00","7h 15m","2 stops","No info",3408
"Air India","2022-10-08","Chennai","Kolkata","CHE --> KOL","21:45:00","22:45:00","1h 0m","non-stop","No check-in baggage included",9186
"IndiGo","2022-10-08","Delhi","Cochin","DEL --> CHE --> HYD --> COC","13:15:00","21:45:00","8h 30m","2 stops","Change airports",5123
"IndiGo","2022-10-08","Delhi","Chennai","DEL --> HYD --> KOL --> CHE","12:45:00","22:30:00","9h 45m","2 stops","Change airports",14527
"Akasa Air","2022-10-08","Chennai","Banglore","CHE --> BAN","20:15:00","22:45:00","2h 30m","non-stop","Red-eye flight",10382
"GoAir","2022-10-08","Hyderabad","Mumbai","HYD --> DEL --> CHE --> MUM","19:45:00","02:15:00","6h 30m","2 stops","In-flight meal not included",4891
"Vistara","2022-10-08","Mumbai","Banglore","MUM --> BAN","10:00:00","12:00:00","2h 0m","non-stop","No check-in baggage included",6855
"Multiple carriers Premium economy","2022-10-08","Cochin","Mumbai","COC --> MUM","10:30:00","12:00:00","1h 30m","non-stop","No check-in baggage included",9722
"IndiGo","2022-10-09","Cochin","Banglore","COC --> KOL --> BAN","19:45:00","01:45:00","6h 0m","1 stop","1 Long layover",5378
"Air India","2022-10-09","Delhi","Banglore","DEL --> CHE --> KOL --> BAN","11:30:00","21:00:00","9h 30m","2 stops","Business class",13148
"IndiGo","2022-10-09","Mumbai","Chennai","MUM --> DEL --> BAN --> CHE","11:15:00","17:15:00","6h 0m","2 stops","Change airports",7877
"IndiGo","2022-10-09","Mumbai","Cochin","MUM --> DEL --> COC","07:00:00","11:00:00","4h 0m","1 stop","No check-in baggage included",12687
"Air India","2022-10-09","Kolkata","Mumbai","KOL --> CHE --> MUM","15:00:00","18:45:00","3h 45m","1 stop","1 Long layover",12853
"Air India","2022-10-09","Hyderabad","Delhi","HYD --> KOL --> MUM --> DEL","21:15:00","04:45:00","7h 30m","2 stops","In-flight meal not included",10993
"IndiGo","2022-10-10","Mumbai","Kolkata","MUM --> COC --> HYD --> KOL","20:45:00","04:15:00","7h 30m","2 stops","1 Long layover",10753
"Air Asia","2022-10-10","Delhi","Mumbai","DEL --> HYD --> MUM","15:15:00","19:30:00","4h 15m","1 stop","1 Long layover",4824
"GoAir","2022-10-10","Cochin","Banglore","COC --> DEL --> BAN","07:30:00","13:45:00","6h 15m","1 stop","1 Long layover",12348
"IndiGo","2022-10-10","Mumbai","Banglore","MUM --> DEL --> COC --> BAN","05:15:00","11:45:00","6h 30m","2 stops","Business class",14153
"Multiple carriers Premium economy","2022-10-10","Banglore","Hyderabad","BAN --> HYD","17:45:00","21:15:00","3h 30m","non-stop","No check-in baggage included",4637
"IndiGo","2022-10-10","Banglore","Delhi","BAN --> KOL --> DEL","09:00:00","12:00:00","3h 0m","1 stop","Red-eye flight",14473
"SpiceJet","2022-10-10","Banglore","Mumbai","BAN --> HYD --> COC --> MUM","11:15:00","18:30:00","7h 15m","2 stops","Red-eye flight",10038
"Akasa Air","2022-10-10","Kolkata","Delhi","KOL --> HYD --> DEL","17:30:00","23:45:00","6h 15m","1 stop","Business class",10422
"Air India","2022-10-10","Delhi","Banglore","DEL --> CHE --> HYD --> BAN","13:00:00","20:15:00","7h 15m","2 stops","In-flight meal not included",7224
"Air Asia","2022-10-10","Mumbai","Cochin","MUM --> HYD --> COC","05:15:00","09:30:00","4h 15m","1 stop","Business class",10595
"SpiceJet","2022-10-11","Delhi","Mumbai","DEL --> MUM","07:30:00","10:30:00","3h 0m","non-stop","Business class",9924
"IndiGo","2022-10-11","Banglore","Chennai","BAN --> CHE","19:30:00","22:45:00","3h 15m","non-stop","1 Long layover",11353
"IndiGo","2022-10-11","Chennai","Hyderabad","CHE --> MUM --> HYD","06:00:00","12:00:00","6h 0m","1 stop","No info",7742
"GoAir","2022-10-11","Mumbai","Delhi","MUM --> DEL","12:15:00","14:30:00","2h 15m","non-stop","No info",4118
"Air Asia","2022-10-11","Kolkata","Mumbai","KOL --> HYD --> BAN --> MUM","10:45:00","17:15:00","6h 30m","2 stops","1 Long layover",9984
"IndiGo","2022-10-11","Mumbai","Kolkata","MUM --> KOL","21:45:00","00:45:00","3h 0m","non-stop","No check-in baggage included",3323
"IndiGo","2022-10-11","Hyderabad","Banglore","HYD --> DEL --> CHE --> BAN","07:00:00","15:30:00","8h 30m","2 stops","1 Long layover",10079
"Vistara","2022-10-11","Kolkata","Banglore","KOL --> DEL --> MUM --> BAN","17:00:00","02:45:00","9h 45m","2 stops","Change airports",10381
"IndiGo","2022-10-12","Hyderabad","Delhi","HYD --> MUM --> KOL --> DEL","08:15:00","16:45:00","8h 30m","2 stops","1 Long layover",3435
"Akasa Air","2022-10-12","Delhi","Hyderabad","DEL --> CHE --> HYD","18:45:00","23:00:00","4h 15m","1 stop","1 Long layover",13901
"Air India","2022-10-12","Chennai","Banglore","CHE --> KOL --> BAN","05:30:00","11:45:00","6h 15m","1 stop","Change airports",4170
"IndiGo","2022-10-12","Mumbai","Hyderabad","MUM --> BAN --> KOL --> HYD","11:15:00","21:00:00","9h 45m","2 stops","Change airports",11045
"Vistara","2022-10-12","Hyderabad","Mumbai","HYD --> BAN --> MUM","16:00:00","20:00:00","4h 0m","1 stop","Business class",3400
"IndiGo","2022-10-12","Delhi","Mumbai","DEL --> COC --> KOL --> MUM","18:15:00","01:45:00","7h 30m","2 stops","Red-eye flight",12185
"SpiceJet","2022-10-12","Mumbai","Delhi","MUM --> BAN --> DEL","08:15:00","14:15:00","6h 0m","1 stop","No check-in baggage included",3157
"Air India","2022-10-12","Cochin","Mumbai","COC --> MUM","13:30:00","14:45:00","1h 15m","non-stop","No check-in baggage included",4715
"IndiGo","2022-10-12","Chennai","Delhi","CHE --> COC --> BAN --> DEL","07:00:00","15:45:00","8h 45m","2 stops","Red-eye flight",9915
"Air India","2022-10-12","Banglore","Chennai","BAN --> COC --> DEL --> CHE","08:15:00","14:15:00","6h 0m","2 stops","No check-in baggage included",4571
"IndiGo","2022-10-12","Kolkata","Delhi","KOL --> DEL","05:45:00","08:15:00","2h 30m","non-stop","1 Long layover",4628
"Air Asia","2022-10-13","Mumbai","Cochin","MUM --> BAN --> CHE --> COC","20:15:00","05:15:00","9h 0m","2 stops","No info",11300
"IndiGo","2022-10-13","Delhi","Mumbai","DEL --> KOL --> MUM","17:30:00","23:30:00","6h 0m","1 stop","1 Long layover",4981
"Air India","2022-10-13","Delhi","Banglore","DEL --> COC --> MUM --> BAN","21:30:00","06:00:00","8h 30m","2 stops","In-flight meal not included",13404
"SpiceJet","2022-10-13","Banglore","Delhi","BAN --> HYD --> MUM --> DEL","13:45:00","20:15:00","6h 30m","2 stops","No info",7152
"IndiGo","2022-10-13","Delhi","Chennai","DEL --> COC --> BAN --> CHE","16:00:00","22:15:00","6h 15m","2 stops","Business class",10996
"IndiGo","2022-10-13","Banglore","Cochin","BAN --> COC","11:00:00","13:00:00","2h 0m","non-stop","Red-eye flight",3464
"Vistara","2022-10-13","Banglore","Mumbai","BAN --> DEL --> MUM","10:00:00","13:00:00","3h 0m","1 stop","Business class",4885
"Akasa Air","2022-10-13","Mumbai","Delhi","MUM --> KOL --> DEL","19:45:00","23:30:00","3h 45m","1 stop","Business class",12300
"IndiGo","2022-10-13","Mumbai","Banglore","MUM --> HYD --> DEL --> BAN","09:45:00","17:15:00","7h 30m","2 stops","1 Long layover",7033
"Vistara","2022-10-13","Banglore","Hyderabad","BAN --> MUM --> KOL --> HYD","07:00:00","16:00:00","9h 0m","2 stops","In-flight meal not included",9301
"SpiceJet","2022-10-14","Banglore","Hyderabad","BAN --> MUM --> HYD","05:30:00","09:15:00","3h 45m","1 stop","Red-eye flight",11452
"GoAir","2022-10-14","Chennai","Mumbai","CHE --> DEL --> MUM","08:30:00","14:45:00","6h 15m","1 stop","No check-in baggage included",5978
"IndiGo","2022-10-14","Chennai","Banglore","CHE --> BAN","16:15:00","18:15:00","2h 0m","non-stop","Change airports",12163
"Vistara","2022-10-14","Delhi","Chennai","DEL --> CHE","12:00:00","15:00:00","3h 0m","non-stop","In-flight meal not included",13654
"IndiGo","2022-10-14","Chennai","Delhi","CHE --> KOL --> MUM --> DEL","19:30:00","02:30:00","7h 0m","2 stops","1 Long layover",12160
"Air India","2022-10-14","Delhi","Banglore","DEL --> MUM --> BAN","07:00:00","13:45:00","6h 45m","1 stop","Change airports",14606
"IndiGo","2022-10-14","Kolkata","Chennai","KOL --> DEL --> BAN --> CHE","07:00:00","13:00:00","6h 0m","2 stops","Change airports",11530
"IndiGo","2022-10-14","Banglore","Delhi","BAN --> KOL --> DEL","18:45:00","00:45:00","6h 0m","1 stop","Change airports",11629
"IndiGo","2022-10-14","Mumbai","Delhi","MUM --> DEL","19:30:00","21:45:00","2h 15m","non-stop","1 Long layover",6616
"IndiGo","2022-10-14","Cochin","Banglore","COC --> BAN","13:45:00","17:15:00","3h 30m","non-stop","1 Long layover",14586
"IndiGo","2022-10-15","Mumbai","Cochin","MUM --> CHE --> DEL --> COC","05:15:00","15:00:00","9h 45m","2 stops","Business class",12788
"Air India","2022-10-15","Banglore","Mumbai","BAN --> HYD --> KOL --> MUM","16:30:00","23:45:00","7h 15m","2 stops","In-flight meal not included",9096
"IndiGo","2022-10-15","Kolkata","Delhi","KOL --> BAN --> DEL","17:00:00","21:30:00","4h 30m","1 stop","In-flight meal not included",7224
"SpiceJet","2022-10-15","Kolkata","Chennai","KOL --> DEL --> CHE","21:15:00","01:30:00","4h 15m","1 stop","In-flight meal not included",5298
"GoAir","2022-10-15","Cochin","Mumbai","COC --> DEL --> MUM","14:45:00","20:30:00","5h 45m","1 stop","Business class",8550
"IndiGo","2022-10-15","Chennai","Hyderabad","CHE --> HYD","12:15:00","14:30:00","2h 15m","non-stop","No check-in baggage included",3712
"IndiGo","2022-10-15","Cochin","Chennai","COC --> MUM --> BAN --> CHE","07:00:00","16:00:00","9h 0m","2 stops","Change airports",8295
"Air Asia","2022-10-16","Mumbai","Delhi","MUM --> KOL --> COC --> DEL","10:00:00","18:00:00","8h 0m","2 stops","1 Long layover",5547
"SpiceJet","2022-10-16","Delhi","Banglore","DEL --> KOL --> HYD --> BAN","07:15:00","15:15:00","8h 0m","2 stops","In-flight meal not included",10236
"Jet Airways","2022-10-16","Banglore","Mumbai","BAN --> CHE --> DEL --> MUM","16:15:00","00:45:00","8h 30m","2 stops","Red-eye flight",12347
"Air Asia","2022-10-16","Hyderabad","Delhi","HYD --> MUM --> DEL","09:15:00","14:30:00","5h 15m","1 stop","Business class",6231
"IndiGo","2022-10-16","Hyderabad","Mumbai","HYD --> MUM","14:15:00","17:30:00","3h 15m","non-stop","Business class",6131
"Vistara","2022-10-16","Hyderabad","Banglore","HYD --> BAN","06:30:00","07:30:00","1h 0m","non-stop","No check-in baggage included",10875
"Vistara","2022-10-16","Kolkata","Mumbai","KOL --> HYD --> MUM","09:00:00","14:30:00","5h 30m","1 stop","Business class",4581
"IndiGo","2022-10-17","Mumbai","Cochin","MUM --> CHE --> COC","06:15:00","12:45:00","6h 30m","1 stop","Change airports",9917
"Vistara","2022-10-17","Kolkata","Banglore","KOL --> CHE --> HYD --> BAN","08:30:00","15:45:00","7h 15m","2 stops","No info",12116
"Multiple carriers","2022-10-17","Delhi","Mumbai","DEL --> COC --> BAN --> MUM","08:30:00","14:30:00","6h 0m","2 stops","No check-in baggage included",7234
"Akasa Air","2022-10-17","Chennai","Mumbai","CHE --> MUM","16:45:00","20:00:00","3h 15m","non-stop","No check-in baggage included",12008
"IndiGo","2022-10-17","Delhi","Banglore","DEL --> HYD --> BAN","16:15:00","20:45:00","4h 30m","1 stop","No check-in baggage included",14682
"Multiple carriers","2022-10-17","Delhi","Cochin","DEL --> COC","10:15:00","13:45:00","3h 30m","non-stop","Red-eye flight",14504
"Multiple carriers","2022-10-18","Mumbai","Delhi","MUM --> COC --> KOL --> DEL","19:45:00","02:00:00","6h 15m","2 stops","1 Long layover",3407
"Air India","2022-10-18","Delhi","Kolkata","DEL --> MUM --> KOL","16:30:00","22:15:00","5h 45m","1 stop","No check-in baggage included",7513
"Vistara","2022-10-18","Banglore","Mumbai","BAN --> MUM","05:45:00","07:00:00","1h 15m","non-stop","No info",10177
"Jet Airways Business","2022-10-18","Delhi","Hyderabad","DEL --> MUM --> CHE --> HYD","14:30:00","22:15:00","7h 45m","2 stops","No check-in baggage included",4745
"IndiGo","2022-10-18","Hyderabad","Delhi","HYD --> CHE --> COC --> DEL","11:00:00","17:45:00","6h 45m","2 stops","1 Long layover",4369
"Vistara","2022-10-18","Chennai","Delhi","CHE --> HYD --> KOL --> DEL","18:00:00","03:15:00","9h 15m","2 stops","1 Long layover",9789
"IndiGo","2022-10-18","Banglore","Kolkata","BAN --> DEL --> MUM --> KOL","08:45:00","18:15:00","9h 30m","2 stops","In-flight meal not included",7213
"IndiGo","2022-10-18","Delhi","Mumbai","DEL --> MUM","15:30:00","17:30:00","2h 0m","non-stop","1 Long layover",3261
"IndiGo","2022-10-19","Delhi","Mumbai","DEL --> BAN --> MUM","11:15:00","14:30:00","3h 15m","1 stop","No check-in baggage included",5980
"GoAir","2022-10-19","Mumbai","Banglore","MUM --> DEL --> CHE --> BAN","09:00:00","18:45:00","9h 45m","2 stops","Business class",10581
"Akasa Air","2022-10-19","Chennai","Banglore","CHE --> MUM --> BAN","21:15:00","02:45:00","5h 30m","1 stop","No info",11067
"Vistara","2022-10-19","Mumbai","Chennai","MUM --> CHE","08:30:00","11:00:00","2h 30m","non-stop","No check-in baggage included",3186
"IndiGo","2022-10-19","Kolkata","Banglore","KOL --> BAN","15:00:00","18:15:00","3h 15m","non-stop","No info",13384
"Air India","2022-10-19","Kolkata","Mumbai","KOL --> CHE --> HYD --> MUM","17:00:00","01:30:00","8h 30m","2 stops","Red-eye flight",9037
"Air Asia","2022-10-19","Hyderabad","Mumbai","HYD --> KOL --> CHE --> MUM","10:00:00","19:15:00","9h 15m","2 stops","Business class",13379
"Vistara","2022-10-19","Hyderabad","Delhi","HYD --> BAN --> DEL","18:45:00","23:15:00","4h 30m","1 stop","No check-in baggage included",5058
"Vistara","2022-10-19","Delhi","Chennai","DEL --> CHE","17:15:00","18:45:00","1h 30m","non-stop","Business class",8084
"IndiGo","2022-10-20","Chennai","Kolkata","CHE --> BAN --> KOL","19:00:00","23:00:00","4h 0m","1 stop","No info",10349
"SpiceJet","2022-10-20","Cochin","Kolkata","COC --> KOL","19:45:00","22:15:00","2h 30m","non-stop","Red-eye flight",14788
"IndiGo","2022-10-20","Cochin","Mumbai","COC --> MUM","17:15:00","19:45:00","2h 30m","non-stop","Business class",7919
"IndiGo","2022-10-20","Chennai","Hyderabad","CHE --> HYD","08:45:00","11:00:00","2h 15m","non-stop","No check-in baggage included",5625
"Vistara Premium economy","2022-10-20","Mumbai","Hyderabad","MUM --> HYD","13:15:00","14:30:00","1h 15m","non-stop","Red-eye flight",8553
"IndiGo","2022-10-20","Banglore","Hyderabad","BAN --> HYD","14:45:00","15:45:00","1h 0m","non-stop","Red-eye flight",8286
"Air Asia","2022-10-20","Chennai","Banglore","CHE --> BAN","05:00:00","08:00:00","3h 0m","non-stop","In-flight meal not included",4703
"Air Asia","2022-10-20","Kolkata","Mumbai","KOL --> MUM","19:15:00","22:45:00","3h 30m","non-stop","No check-in baggage included",12913
"IndiGo","2022-10-20","Chennai","Mumbai","CHE --> MUM","13:00:00","16:00:00","3h 0m","non-stop","Business class",9729
"GoAir","2022-10-20","Mumbai","Banglore","MUM --> DEL --> BAN","10:30:00","17:15:00","6h 45m","1 stop","Change airports",4376
"IndiGo","2022-10-21","Chennai","Mumbai","CHE --> HYD --> COC --> MUM","08:15:00","17:00:00","8h 45m","2 stops","No info",11189
"GoAir","2022-10-21","Chennai","Hyderabad","CHE --> MUM --> HYD","21:15:00","04:00:00","6h 45m","1 stop","No info",8406
"Air Asia","2022-10-21","Cochin","Mumbai","COC --> CHE --> KOL --> MUM","18:30:00","01:00:00","6h 30m","2 stops","Red-eye flight",6452
"GoAir","2022-10-21","Delhi","Mumbai","DEL --> MUM","12:15:00","15:30:00","3h 15m","non-stop","In-flight meal not included",13162
"Vistara Premium economy","2022-10-21","Hyderabad","Delhi","HYD --> DEL","13:30:00","15:30:00","2h 0m","non-stop","1 Long layover",9250
